label,price
SUADAC_DAIRYCHAMP_118,114000
BANH_CUSTAS_8,25000
BANH_MARINEBOY_5,10500
BANH_OSTAR_21,6000
BCS_DUREX_27,92000
BCS_DUREX_29,62000
CAFE_HUUKHANH_35,110000
CAFE_HUUKHANH_36,110000
CAFE_NESCAFE_37,54800
CAFE_VINACAFE_39,98000
DAUGOI_BOKET_45,45000
DAUGOI_H&S_51,179000
GASAY_DOXACO_60,44200
GAXE_DOXACO_61,45000
HUTIEU_VIFON_65,8900
KEMDANHRANG_COLGATE_66,45000
KEMDANHRANG_COLGATE_67,45000
KEMDANHRANG_COLGATE_68,54900
KEO_KOPIKO_69,16600
LAUSAN_SUNLIGHT_94,30000
MI_VIFON_83,13800
MIEN_PHUHUONG_84,9600
MUOIOT_TOXACO_86,16500
NEW_CBONGCAHOI_1,130000
SUA_MILKMILK_117,160000
SUATAM_VASELINE_122,190000
TAYRUA_VIM_42,58000
TRA_HOACUC_136,60000
TRA_LIPTON_139,41700
XITCONTRUNG_KINGSTAR_133,45000
XITCONTRUNG_MENG_131,45000
XITPHONG_SPRING_142,45000
YEN_KHANHHOA_146,51767
YEN_QUEENEST_147,45000
YEN_QUEENEST_150,45000
YEN_SAVINEST_112,45000
YEN_SAVINEST_113,45000
BANH_AFC_1,30500
BANH_AFC_2,31000
BANH_AN_11,45000
BANH_BON_3,20000
BANH_CHOCOPIE_7,45000
BANH_COFFETOY_6,27000
BANH_COSY_16,14500
BANH_COSY_17,45000
BANH_CUSTAS_9,45000
BANH_DANISA_18,45000
BANH_DANISA_19,45000
BANH_GOODY_20,45000
BANH_GOUTE_13,45000
BANH_HURA_4,31000
BANH_ICHI_12,21000
BANH_KITKAT_14,45000
BANH_NABATI_15,45000
BANH_OSTAR_22,12000
BANH_OSTAR_23,12000
BANH_OSTAR_24,22000
BANH_OSTAR_25,12000
BANH_VIFON_10,45000
BCS_DUREX_26,45000
BIA_LAGER_30,45000
BIA_TIGER_31,45000
CAFE_CAFEVIET_34,45000
CAFE_G7_33,45000
CAFE_TRUNGNGUYEN_38,105000
CAFE_WAKEUP_40,52000
CAFE_WAKEUP_41,45000
CAFE_WAKEUP_42,52000
DAUAN_MARVELA_43,45000
DAUAN_SIMPLY_44,45000
DAUGOI_CLEAR_46,200000
DAUGOI_CLEAR_47,45000
DAUGOI_CLEARMEN_48,85000
DAUGOI_DOVE_49,45000
DAUGOI_DOVE_55,45000
DAUGOI_FRESH_50,45000
DAUGOI_LIFEBOY_56,45000
DAUGOI_PANTENE_52,45000
DAUGOI_REJOICE_58,45000
DAUGOI_SUNSIK_53,45000
DAUGOI_XMEN_54,45000
DAUGOI_XMEN_57,153000
DOHOP_CAMOI_32,45000
DOHOP_VISSAN_64,45000
GASAY_TNP_59,45000
GEL_GATSBY_62,45000
GEL_ROMANO_63,54000
KEO_DOUBLEMINT_114,45000
KEO_MENTOS_70,36000
KEO_PLAY_71,26000
LAUSAN_SUNLIGHT_95,45000
MAMRUOC_HUE_72,32000
MI_HAOHAO_74,45000
MI_HAOHAO_79,45000
MI_LAUTHAI_80,45000
MI_OMACHI_73,12900
MI_OMACHI_76,17900
MI_OMACHI_78,45000
MI_OMACHI_81,16000
MI_OMACHI_87,45000
MI_OMACHI_88,14400
MI_VIFON_75,45000
MI_VIFON_77,9500
MI_VIFON_82,45000
MIEN_ACECOOK_85,14300
NGUCOC_BFAST_89,67500
NGUCOC_NUTI_90,49000
NUOC_AQUAFINA_93,45000
NUOC_PEPSI_97,45000
NUOC_PEPSI_98,45000
NUOC_PEPSI_99,45000
NUOC_REDBULL_107,45000
NUOC_REDBULL_108,45000
NUOC_STING_100,45000
NUOC_WAKEUP 247_101,45000
NUOC_WAKEUP_247_102,45000
NUOC_WAKEUP247_101,45000
NUOC_WAKEUP247_102,45000
NUOC_WARRIOR_109,45000
NUOCCAM_TWISTER_91,24000
NUOCHOA_XMEN_92,61000
NUOCMAM_HUNGTHINH_96,58000
NUOCTUONG_TTT_110,8800
poca,45000
RUACHEN_SUNLIGHT_103,45000
RUACHEN_SUNLIGHT_104,45000
RUATAY_LIFEBOY_105,34000
SNACK_INDOCHIPS_116,6000
SNACK_POCA_115,12300
SUA_LADY_129,33000
SUA_MILO_128,45000
SUA_OVALTINE_130,45000
SUA_SUSU_121,45000
SUADAC_ONGTHO_119,27000
SUADAC_VINAMILK_120,45000
SUATAM_FRESH_127,119000
SUATAM_HAZELINE_123,45000
SUATAM_LIFEBOY_124,45000
SUATAM_ROMANO_126,45000
SUCMIENG_LISTERINE_106,152000
TAYRUA_DUCK_111,45000
TRA_C2_140,45000
TRA_FUZETEA_135,10000
TRA_KODO_141,45000
TRA_LIPTON_138,45000
TRA_TEA+_137,45000
XITCONTRUNG_JUMBO_131,59000
XITCONTRUNG_RAID_134,72000
XITPHONG_SPRING_143,34500
XUCXICH_BEKHOE_144,45000
XUCXICH_VISSAN_145,10900
YEN_KHANHHOA_148,35000
YEN_KHANHHOA_149,35000
NUOC_WAKUP_247_101,45000
BCS_DUREX_28,99000
SUATAM_XMEN_125,179900
